Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Iteration Start TIme,8,270,15,664,736,736,1,736,0.00%,0.12598,0,0
Login,8,1388,30,2818,2865,2865,1,2865,50.00%,0.12186,0.3,0.04
Validate,8,583,6,1194,1219,1219,1,1219,50.00%,0.11903,0.43,0.12
TimeSheets,2,9240,981,17499,17499,17499,981,17499,50.00%,0.02256,1.21,0.36
Assign Claim,4,6057,1817,11521,11521,11521,4,11521,50.00%,0.04354,1.66,0.44
PIM - Add Employee,2,1777,5,3550,3550,3550,5,3550,50.00%,0.02805,0.37,0.1
PIM - Reports,1,1614,1614,1614,1614,1614,1614,1614,0.00%,0.50556,4.57,1.64
Logout,4,813,734,921,921,921,698,921,0.00%,0.21723,0.99,0.36
Pacing Wait TIme,4,5418,2,13217,13217,13217,1,13217,0.00%,0.17218,0,0
Debug Sampler,4,0,0,1,1,1,0,1,0.00%,0.39952,0.42,0
TOTAL,45,2016,664,3550,11521,17499,0,17499,26.67%,0.43703,3.55,0.98
